2024-06-04 00:13:02,826 INFO  SnsAmbassador - Removed Node id=veh_5 @time=31.000,000,000 s
2024-06-04 00:13:02,855 INFO  SnsAmbassador - Added Vehicle id=veh_21 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=32.000,000,000 s
2024-06-04 00:13:02,855 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_21 @time=32.000,000,000 s
2024-06-04 00:13:03,018 INFO  SnsAmbassador - Removed Node id=veh_12 @time=34.000,000,000 s
2024-06-04 00:13:03,118 INFO  SnsAmbassador - Added Vehicle id=veh_24 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=37.000,000,000 s
2024-06-04 00:13:03,118 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_24 @time=37.000,000,000 s
2024-06-04 00:13:03,118 INFO  SnsAmbassador - Added Vehicle id=veh_26 position=GeoPoint{lat=40.744116,lon=-73.987861,alt=0.00} @time=37.000,000,000 s
2024-06-04 00:13:03,118 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_26 @time=37.000,000,000 s
2024-06-04 00:13:03,118 INFO  SnsAmbassador - Removed Node id=veh_9 @time=37.000,000,000 s
2024-06-04 00:13:03,149 INFO  SnsAmbassador - Added Vehicle id=veh_25 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=38.000,000,000 s
2024-06-04 00:13:03,149 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_25 @time=38.000,000,000 s
2024-06-04 00:13:03,206 INFO  SnsAmbassador - Removed Node id=veh_16 @time=40.000,000,000 s
2024-06-04 00:13:03,318 INFO  SnsAmbassador - Added Vehicle id=veh_28 position=GeoPoint{lat=40.743773,lon=-73.988995,alt=0.00} @time=43.000,000,000 s
2024-06-04 00:13:03,318 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_28 @time=43.000,000,000 s
2024-06-04 00:13:03,318 INFO  SnsAmbassador - Added Vehicle id=veh_30 position=GeoPoint{lat=40.744116,lon=-73.987861,alt=0.00} @time=43.000,000,000 s
2024-06-04 00:13:03,318 INFO  SnsAmbassador - Radio configured in mode SINGLE with communication radius 300.0 for node id=veh_30 @time=43.000,000,000 s
2024-06-04 00:13:03,318 INFO  SnsAmbassador - Removed Node id=veh_13 @time=43.000,000,000 s
