2024-06-04 00:13:02,479 INFO  SumoGuiAmbassador - Adding new vehicle "veh_14" at simulation time 18000000000 ns (type=TrafficLightCarBlue, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:02,479 INFO  SumoGuiAmbassador - Adding new vehicle "veh_15" at simulation time 18000000000 ns (type=TrafficLightCarYellow, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:02,579 INFO  SimulationFacade - Removed vehicle "veh_4" at simulation time 22000000000ns
2024-06-04 00:13:02,620 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_16" received at simulation time 24000000000 ns (subscribe=true)
2024-06-04 00:13:02,620 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_17" received at simulation time 24000000000 ns (subscribe=true)
2024-06-04 00:13:02,620 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_18" received at simulation time 24000000000 ns (subscribe=true)
2024-06-04 00:13:02,620 INFO  SumoGuiAmbassador - VehicleRegistration from RTI "veh_19" received at simulation time 24000000000 ns (subscribe=true)
2024-06-04 00:13:02,636 INFO  SumoGuiAmbassador - Adding new vehicle "veh_16" at simulation time 24000000000 ns (type=TrafficLightCarRed, routeId=1, laneId=0, departPos=0.00)
2024-06-04 00:13:02,637 INFO  SumoGuiAmbassador - Adding new vehicle "veh_17" at simulation time 24000000000 ns (type=TrafficLightCarGreen, routeId=3, laneId=0, departPos=0.00)
2024-06-04 00:13:02,639 INFO  SumoGuiAmbassador - Adding new vehicle "veh_18" at simulation time 24000000000 ns (type=TrafficLightCarBlue, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:02,640 INFO  SumoGuiAmbassador - Adding new vehicle "veh_19" at simulation time 24000000000 ns (type=TrafficLightCarYellow, routeId=5, laneId=0, departPos=0.00)
2024-06-04 00:13:02,673 INFO  SimulationFacade - Removed vehicle "veh_1" at simulation time 26000000000ns
2024-06-04 00:13:02,718 INFO  SimulationFacade - Removed vehicle "veh_8" at simulation time 28000000000ns
